Transaction_Id,User_Id,Transaction_Date,Product_Category,Product_Name,Product_Amount,Payment_method,Device_Type,Location
4DAC3EA3,USER_05159,2023-05-08,Rent Payment,2BHK Flat Deposit,1525.39,Debit Card,iOS,Urban
A903ED9F,USER_07204,2023-09-30,Gas Bill,Commercial Gas Connection,1495.4,UPI,iOS,Urban
2A393013,USER_00903,2023-04-27,Bus Ticket,Semi-Sleeper,1267.71,UPI,iOS,Urban
9A07AD19,USER_01769,2023-02-17,Internet Bill,4G Unlimited Plan,9202.63,Debit Card,Android,Urban
76418260,USER_03544,2023-09-08,Loan Repayment,Home Loan EMI,3100.58,Debit Card,Android,Urban
2EE6C8D8,USER_07548,2023-07-01,Flight Booking,Delhi to Mumbai,8430.75,UPI,Android,Urban
89DF83E5,USER_05280,2023-09-05,Hotel Booking,Villa,6688.17,UPI,Android,Urban
1A8AB910,USER_03459,2023-09-03,Gas Bill,Piped Natural Gas,1802.28,UPI,iOS,Urban
48FC902D,USER_04329,2023-10-10,Internet Bill,Broadband 50Mbps Plan,4262.28,UPI,iOS,Urban
19C7D2D5,USER_07264,2023-09-01,Insurance Premium,Term Life Policy,2207.9,Wallet Balance,iOS,Urban
B7D8C70D,USER_00434,2023-10-28,Online Shopping,Fitness Tracker,3186.45,UPI,iOS,Suburban
28895BA8,USER_00723,2023-09-08,Mobile Recharge,Prepaid Plan 399,403.2,Credit Card,Android,Rural
67709F94,USER_01944,2023-09-12,Online Shopping,Laptop Backpack,9421.81,UPI,Android,Suburban
2B99EE3A,USER_06471,2023-03-24,Electricity Bill,Temporary Connection Bill,5297.09,Wallet Balance,Android,Urban
08BD39D8,USER_01395,2023-03-13,Rent Payment,Co-working Space,3101.18,Bank Transfer,Android,Urban
08DAAFC2,USER_00384,2023-08-20,Gas Bill,Auto LPG,1440.26,Debit Card,iOS,Suburban
29E70ED2,USER_00257,2023-01-02,Streaming Service,Premium Plan,2402.15,Debit Card,Android,Rural
B44347B1,USER_04931,2023-10-26,Grocery Shopping,Dairy Milk Chocolate,3595.19,Wallet Balance,Android,Urban
F0557048,USER_05181,2023-03-26,Flight Booking,Delhi to Mumbai,9930.71,Credit Card,Android,Urban
270DAF0A,USER_07275,2023-02-18,Taxi Fare,Share Ride,307.81,UPI,Web,Rural
333D21EC,USER_05710,2023-06-22,Taxi Fare,Share Ride,8996.0,Bank Transfer,Android,Urban
BB2A7FB0,USER_03731,2023-12-07,Gaming Credits,500 Gems Pack,1558.03,Credit Card,Android,Urban
D447AFD8,USER_01167,2023-06-21,Water Bill,Industrial Use,2699.87,Bank Transfer,Android,Rural
F8C53632,USER_06153,2023-07-02,Bus Ticket,AC Seater,2991.37,Debit Card,Web,Suburban
1314DD52,USER_01839,2023-12-06,Rent Payment,Commercial Space Rent,5140.78,Debit Card,Android,Urban
1DAB5C5F,USER_09865,2023-06-09,Online Shopping,Smart LED TV,7076.38,Wallet Balance,iOS,Urban
8BC5BB94,USER_05566,2023-03-09,Flight Booking,Chennai to Hyderabad,2956.08,Wallet Balance,Android,Suburban
37BF717F,USER_04900,2023-09-24,Loan Repayment,Car Loan Installment,6916.55,UPI,Android,Suburban
DBF8A78A,USER_06975,2023-06-29,Taxi Fare,Share Ride,5642.55,Bank Transfer,Web,Rural
CDFBD280,USER_08737,2023-05-10,Gas Bill,Commercial Gas Connection,9734.95,UPI,Android,Urban
9B904EFA,USER_08347,2023-09-17,Electricity Bill,Residential Bill,1916.58,Credit Card,iOS,Urban
